Date,GBPGHS
2008-01-02,0.9799
2008-01-03,0.9799
2008-01-04,0.9798
2008-01-05,0.9798
2008-01-06,0.9798
2008-01-07,0.9809
2008-01-08,0.98
2008-01-09,0.9802
2008-01-10,0.9803
2008-01-11,0.9803
2008-01-12,0.9803
2008-01-13,0.9803
2008-01-14,0.9803
2008-01-15,0.9805
2008-01-16,0.9798
2008-01-17,0.9798
2008-01-18,0.9799
2008-01-19,0.9799
2008-01-20,0.9799
2008-01-21,0.9799
2008-01-22,0.9799
2008-01-23,0.9798
2008-01-24,0.9802
2008-01-25,0.9802
2008-01-26,0.9802
2008-01-27,0.9802
2008-01-28,0.9802
2008-01-29,0.9488
2008-01-30,0.9804
2008-01-31,0.9804
2008-02-01,0.9804
2008-02-02,0.9804
2008-02-03,0.9804
2008-02-04,0.9804
2008-02-05,0.9814
2008-02-06,0.9814
2008-02-07,0.9814
2008-02-08,0.9818
2008-02-09,0.9818
2008-02-10,0.9818
2008-02-11,0.9818
2008-02-12,0.9819
2008-02-13,0.983
2008-02-14,0.983
2008-02-15,0.983
2008-02-16,0.983
2008-02-17,0.983
2008-02-18,0.983
2008-02-19,0.983
2008-02-20,0.983
2008-02-21,0.9836
2008-02-22,0.9836
2008-02-23,0.9836
2008-02-24,0.9836
2008-02-25,0.9836
2008-02-26,0.9835
2008-02-27,0.9835
2008-02-28,0.9835
2008-02-29,0.9835
2008-03-01,0.9835
2008-03-02,0.9835
2008-03-03,0.9835
2008-03-04,0.9835
2008-03-05,0.9838
2008-03-06,0.9838
2008-03-07,0.9838
2008-03-08,0.9838
2008-03-09,0.9838
2008-03-10,0.9839
2008-03-11,0.9839
2008-03-12,0.9839
2008-03-13,0.9846
2008-03-14,0.9851
2008-03-15,0.9851
2008-03-16,0.9851
2008-03-17,0.9851
2008-03-18,0.9851
2008-03-19,0.0
2008-03-20,0.9814
2008-03-21,0.9814
2008-03-22,0.9814
2008-03-23,0.9814
2008-03-24,0.9814
2008-03-25,0.9851
2008-03-26,0.9852
2008-03-27,0.9852
2008-03-28,0.9852
2008-03-29,0.9852
2008-03-30,0.9852
2008-03-31,0.9852
2008-04-01,0.9853
2008-04-02,0.9853
2008-04-03,0.9853
2008-04-04,0.9853
2008-04-05,0.9853
2008-04-06,0.9853
2008-04-07,0.9839
2008-04-08,0.9856
2008-04-09,0.9856
2008-04-10,0.9856
2008-04-11,0.9883
2008-04-12,0.9883
2008-04-13,0.9883
2008-04-14,0.9883
2008-04-15,0.9889
2008-04-16,0.9894
2008-04-17,0.9898
2008-04-18,0.9903
2008-04-19,0.9903
2008-04-20,0.9903
2008-04-21,0.9904
2008-04-22,0.9905
