Date,USDGHS,GBPGHS
31 Dec 2020,7.8787,5.7631
30 Dec 2020,7.8087,5.7371
29 Dec 2020,7.7383,5.7351
24 Dec 2020,7.7779,5.7351
23 Dec 2020,7.7344,5.7241
22 Dec 2020,7.6517,5.7231
21 Dec 2020,7.6138,5.7221
18 Dec 2020,7.7172,5.7224
17 Dec 2020,7.7675,5.7194
16 Dec 2020,7.7273,5.7189
15 Dec 2020,7.6484,5.7189
14 Dec 2020,7.6432,5.7184
11 Dec 2020,7.5578,5.7174
10 Dec 2020,7.6075,5.7174
09 Dec 2020,7.6734,5.7171
08 Dec 2020,7.6134,5.7171
04 Dec 2020,7.7123,5.7171
03 Dec 2020,7.7100,5.7171
02 Dec 2020,7.6182,5.7173
01 Dec 2020,7.6411,5.7173
30 Nov 2020,7.6467,5.7168
27 Nov 2020,7.6335,5.7163
26 Nov 2020,7.6157,5.7158
25 Nov 2020,7.6477,5.7158
24 Nov 2020,7.6305,5.7158
23 Nov 2020,7.5947,5.7159
20 Nov 2020,7.5941,5.7159
19 Nov 2020,7.5580,5.7154
18 Nov 2020,7.6037,5.7154
17 Nov 2020,7.5709,5.7148
16 Nov 2020,7.5408,5.7149
13 Nov 2020,7.5209,5.7146
12 Nov 2020,7.5106,5.7146
11 Nov 2020,7.5494,5.7141
10 Nov 2020,7.5837,5.7141
09 Nov 2020,7.5280,5.7139
06 Nov 2020,7.4870,5.7136
05 Nov 2020,7.4804,5.7138
04 Nov 2020,7.4285,5.7138
03 Nov 2020,7.4486,5.7139
02 Nov 2020,7.3732,5.7139
30 Oct 2020,7.3953,5.7129
29 Oct 2020,7.3616,5.7129
28 Oct 2020,7.4123,5.7119
27 Oct 2020,7.4477,5.7119
26 Oct 2020,7.4377,5.7104
23 Oct 2020,7.4539,5.7105
22 Oct 2020,7.4778,5.7105
21 Oct 2020,7.5056,5.7095
20 Oct 2020,7.4057,5.7095
19 Oct 2020,7.4221,5.7085
16 Oct 2020,7.3782,5.7085
15 Oct 2020,7.3716,5.7065
14 Oct 2020,7.4281,5.7065
13 Oct 2020,7.3934,5.7066
12 Oct 2020,7.4544,5.7061
09 Oct 2020,7.4190,5.7061
08 Oct 2020,7.3859,5.7061
07 Oct 2020,7.3733,5.7056
06 Oct 2020,7.3927,5.7056
