Date,USDGHS
2008-01-02,1.9427
2008-01-03,1.9394
2008-01-04,1.9309
2008-01-05,1.9309
2008-01-06,1.9309
2008-01-07,1.9343
2008-01-08,1.9429
2008-01-09,1.9301
2008-01-10,1.9189
2008-01-11,1.9141
2008-01-12,1.9141
2008-01-13,1.9141
2008-01-14,1.9233
2008-01-15,1.9205
2008-01-16,1.9192
2008-01-17,1.9249
2008-01-18,1.9299
2008-01-19,1.9299
2008-01-20,1.9299
2008-01-21,1.9124
2008-01-22,1.9007
2008-01-23,1.921
2008-01-24,1.9149
2008-01-25,1.9435
2008-01-26,1.9435
2008-01-27,1.9435
2008-01-28,1.9381
2008-01-29,1.9488
2008-01-30,1.9512
2008-01-31,1.9487
2008-02-01,1.9509
2008-02-02,1.9509
2008-02-03,1.9509
2008-02-04,1.9326
2008-02-05,1.9376
2008-02-06,1.9217
2008-02-07,1.9237
2008-02-08,1.9076
2008-02-09,1.9076
2008-02-10,1.9076
2008-02-11,1.9086
2008-02-12,1.9174
2008-02-13,1.924
2008-02-14,1.935
2008-02-15,1.9377
2008-02-16,1.9377
2008-02-17,1.9377
2008-02-18,1.924
2008-02-19,1.9194
2008-02-20,1.9151
2008-02-21,1.915
2008-02-22,1.9315
2008-02-23,1.9315
2008-02-24,1.9315
2008-02-25,1.9315
2008-02-26,1.9352
2008-02-27,1.9602
2008-02-28,1.9473
2008-02-29,1.9473
2008-03-01,1.9473
2008-03-02,1.9473
2008-03-03,1.9526
2008-03-04,1.9549
2008-03-05,1.9445
2008-03-06,1.9445
2008-03-07,1.9822
2008-03-08,1.9822
2008-03-09,1.9822
2008-03-10,1.9852
2008-03-11,1.9852
2008-03-12,1.9794
2008-03-13,2.0007
2008-03-14,2.0025
2008-03-15,2.0025
2008-03-16,2.0025
2008-03-17,1.9863
2008-03-18,1.9737
2008-03-19,0.0
2008-03-20,1.9494
2008-03-21,1.9494
2008-03-22,1.9494
2008-03-23,1.9494
2008-03-24,1.9494
2008-03-25,1.9633
2008-03-26,1.9732
2008-03-27,1.9776
2008-03-28,1.9694
2008-03-29,1.9694
2008-03-30,1.9694
2008-03-31,1.9572
2008-04-01,1.9466
2008-04-02,1.9518
2008-04-03,1.9529
2008-04-04,1.9715
2008-04-05,1.9715
2008-04-06,1.9715
2008-04-07,1.9554
2008-04-08,1.9569
2008-04-09,1.9402
2008-04-10,1.9471
2008-04-11,1.9496
2008-04-12,1.9496
2008-04-13,1.9496
2008-04-14,1.951
2008-04-15,1.9477
2008-04-16,1.9475
2008-04-17,1.9511
2008-04-18,1.9752
2008-04-19,1.9752
2008-04-20,1.9752
2008-04-21,1.9781
2008-04-22,1.959
2008-04-23,1.9718
2008-04-24,1.9612
2008-04-25,1.9579
2008-04-26,1.9579
2008-04-27,1.9579
2008-04-28,1.9674
2008-04-29,1.9706
2008-04-30,1.952
2008-05-01,1.952
2008-05-02,1.9739
2008-05-03,1.9739
2008-05-04,1.9739
2008-05-05,1.9601
2008-05-06,0.0
2008-05-07,1.9545
2008-05-08,1.9462
2008-05-09,1.9486
2008-05-10,1.9486
2008-05-11,1.9486
2008-05-12,1.9422
2008-05-13,1.9496
2008-05-14,0.0
2008-05-15,1.9492
2008-05-16,1.9507
2008-05-17,1.9507
2008-05-18,1.9507
2008-05-19,1.9598
2008-05-20,1.9599
2008-05-21,1.9698
2008-05-22,1.9805
2008-05-23,1.9884
2008-05-24,1.9884
2008-05-25,1.9884
2008-05-26,1.9884
2008-05-27,1.987
2008-05-28,1.9961
2008-05-29,1.9875
2008-05-30,1.9883
2008-05-31,1.9883
2008-06-01,1.9883
2008-06-02,1.9796
2008-06-03,1.9847
2008-06-04,1.9812
2008-06-05,1.9751
2008-06-06,1.9855
2008-06-07,1.9855
2008-06-08,1.9855
2008-06-09,2.0025
2008-06-10,2.0043
2008-06-11,1.9962
2008-06-12,1.9918
2008-06-13,1.9636
2008-06-14,1.9636
2008-06-15,1.9636
2008-06-16,1.9959
2008-06-17,1.9973
2008-06-18,2.0091
2008-06-19,2.0193
2008-06-20,2.0337
2008-06-21,2.0337
2008-06-22,2.0337
2008-06-23,2.0342
2008-06-24,2.0348
2008-06-25,2.0345
2008-06-26,2.0449
2008-06-27,2.0556
2008-06-28,2.0556
2008-06-29,2.0556
2008-06-30,2.0682
2008-07-01,2.0682
2008-07-02,2.0731
2008-07-03,2.0703
2008-07-04,2.0636
2008-07-05,2.0636
2008-07-06,2.0636
2008-07-07,2.0554
2008-07-08,2.0636
2008-07-09,2.0599
2008-07-10,2.0703
2008-07-11,2.0763
2008-07-12,2.0763
2008-07-13,2.0763
2008-07-14,2.0846
2008-07-15,2.1132
2008-07-16,2.1106
2008-07-17,2.1037
2008-07-18,2.0958
2008-07-19,2.0958
2008-07-20,2.0958
2008-07-21,2.0968
2008-07-22,2.1085
2008-07-23,2.0972
2008-07-24,2.1064
2008-07-25,2.1325
2008-07-26,2.1325
2008-07-27,2.1325
2008-07-28,2.1436
2008-07-29,2.1554
2008-07-30,2.1438
2008-07-31,2.147
2008-08-01,2.1426
2008-08-02,2.1426
2008-08-03,2.1426
2008-08-04,2.1426
2008-08-05,2.125
2008-08-06,2.1331
2008-08-07,2.1292
2008-08-08,2.1086
2008-08-09,2.1086
2008-08-10,2.1086
2008-08-11,2.0956
2008-08-12,2.0865
2008-08-13,2.0842
2008-08-14,2.0544
2008-08-15,2.0352
2008-08-16,2.0352
2008-08-17,2.0352
2008-08-18,2.0481
2008-08-19,2.0558
2008-08-20,2.0659
2008-08-21,2.0754
2008-08-22,2.0849
2008-08-23,2.0849
2008-08-24,2.0849
2008-08-25,2.051
2008-08-26,2.0599
2008-08-27,2.0667
2008-08-28,2.0599
2008-08-29,2.0507
2008-08-30,2.0507
2008-08-31,2.0507
2008-09-01,2.0269
2008-09-02,2.0097
2008-09-03,1.986
2008-09-04,2.0054
2008-09-05,1.984
2008-09-06,1.984
2008-09-07,1.984
2008-09-08,1.9995
2008-09-09,1.988
2008-09-10,1.9976
2008-09-11,1.9842
2008-09-12,2.0101
2008-09-13,2.0101
2008-09-14,2.0101
2008-09-15,2.0527
2008-09-16,2.0424
2008-09-17,2.032
2008-09-18,2.0637
2008-09-19,2.0479
2008-09-20,2.0479
2008-09-21,2.0479
2008-09-22,2.1062
2008-09-23,2.113
2008-09-24,2.1199
2008-09-25,2.1201
2008-09-26,2.0965
2008-09-27,2.0965
2008-09-28,2.0965
2008-09-29,2.0418
2008-09-30,2.0418
2008-10-01,2.0418
2008-10-02,2.025
2008-10-03,2.0183
2008-10-04,2.0183
2008-10-05,2.0183
2008-10-06,2.01
2008-10-07,2.0092
2008-10-08,2.008
2008-10-09,1.9876
2008-10-10,1.9483
2008-10-11,1.9483
2008-10-12,1.9483
2008-10-13,1.9792
2008-10-14,2.0151
2008-10-15,2.0193
2008-10-16,1.9956
2008-10-17,2.0082
2008-10-18,2.0082
2008-10-19,2.0082
2008-10-20,2.0262
2008-10-21,1.9831
2008-10-22,1.8946
2008-10-23,1.8951
2008-10-24,1.8489
2008-10-25,1.8489
2008-10-26,1.8489
2008-10-27,1.8215
2008-10-28,1.8252
2008-10-29,1.8781
2008-10-30,1.9273
2008-10-31,0.0
2008-11-01,0.0
2008-11-02,0.0
2008-11-03,1.9114
2008-11-04,1.8321
2008-11-05,1.8618
2008-11-06,1.855
2008-11-07,1.8369
2008-11-08,1.8369
2008-11-09,1.8369
2008-11-10,1.8423
2008-11-11,1.8327
2008-11-12,1.8164
2008-11-13,1.7537
2008-11-14,1.7466
2008-11-15,1.7466
2008-11-16,1.7466
2008-11-17,1.7329
2008-11-18,1.7749
2008-11-19,1.7752
2008-11-20,1.7743
2008-11-21,1.7645
2008-11-22,1.7645
2008-11-23,1.7645
2008-11-24,1.7767
2008-11-25,1.7941
2008-11-26,1.8279
2008-11-27,1.8407
2008-11-28,1.8469
2008-11-29,1.8469
2008-11-30,1.8469
2008-12-01,1.8313
2008-12-02,1.7817
2008-12-03,1.7812
2008-12-04,1.7618
2008-12-05,1.7618
2008-12-06,1.7618
2008-12-07,1.7618
2008-12-08,1.7618
2008-12-09,1.7762
2008-12-10,1.7836
2008-12-11,1.7937
2008-12-12,1.8028
2008-12-13,1.8028
2008-12-14,1.8028
2008-12-15,1.8158
2008-12-16,1.8495
2008-12-17,1.8884
2008-12-18,1.8747
2008-12-19,1.8328
2008-12-20,1.8328
2008-12-21,1.8328
2008-12-22,1.83
2008-12-23,1.8219
2008-12-24,1.8133
2008-12-25,1.8133
2008-12-26,1.8133
2008-12-27,1.8133
2008-12-28,1.8133
2008-12-29,1.8148
2008-12-30,1.7845
2008-12-31,1.7898
2009-01-01,1.7898
2009-01-02,1.8001
2009-01-03,1.8001
2009-01-04,1.8001
2009-01-05,1.7893
2009-01-06,1.8088
2009-01-07,1.8431
2009-01-08,1.8798
2009-01-09,1.9053
2009-01-10,1.9053
2009-01-11,1.9053
2009-01-12,1.8801
2009-01-13,1.8433
2009-01-14,0.0
2009-01-15,1.8367
2009-01-16,1.8621
2009-01-17,1.8621
2009-01-18,1.8621
2009-01-19,1.8483
2009-01-20,1.7686
2009-01-21,1.7462
2009-01-22,1.7584
2009-01-23,1.7367
2009-01-24,1.7367
2009-01-25,1.7367
2009-01-26,1.7344
2009-01-27,1.8098
2009-01-28,1.8212
2009-01-29,1.8181
2009-01-30,1.8372
2009-01-31,1.8372
2009-02-01,1.8372
2009-02-02,1.8477
2009-02-03,1.8359
2009-02-04,1.865
2009-02-05,1.8793
2009-02-06,1.9362
2009-02-07,1.9362
2009-02-08,1.9362
2009-02-09,0.0
2009-02-10,1.9651
2009-02-11,1.9072
2009-02-12,1.902
2009-02-13,1.9118
2009-02-14,1.9118
2009-02-15,1.9118
2009-02-16,1.8818
2009-02-17,1.8807
2009-02-18,1.9204
2009-02-19,1.9322
2009-02-20,1.9145
2009-02-21,1.9145
2009-02-22,1.9145
2009-02-23,1.8672
2009-02-24,1.9604
2009-02-25,1.9604
2009-02-26,1.9216
2009-02-27,1.9202
2009-02-28,1.9202
2009-03-01,1.9202
2009-03-02,1.9295
2009-03-03,1.9088
2009-03-04,1.8991
2009-03-05,1.9287
2009-03-06,1.9287
2009-03-07,1.9287
2009-03-08,1.9287
2009-03-09,1.907
2009-03-10,1.8901
2009-03-11,1.8768
2009-03-12,1.8856
2009-03-13,1.9103
2009-03-14,1.9103
2009-03-15,1.9103
2009-03-16,1.9424
2009-03-17,1.9307
2009-03-18,1.9256
